Model,Engine Size (cm3),Horse Power (HP),Year,Location,Kilometers,Fuel Type,Price (EUR),URL
BMW Seria 3 320d,1995,163,2005,Sibiu,242993,Diesel,3350,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-ID7HsG59.html
BMW Seria 3,1995,116,2011,Timis,255000,Diesel,3400,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HAxlu.html
BMW Seria 3 318d,1995,143,2008,Prahova,263000,Diesel,3450,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HAyjS.html
BMW Seria 3 318d,1995,143,2008,Brasov,284427,Diesel,3499,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HBEfk.html
BMW Seria 3,1995,177,2008,Bucuresti,274680,Diesel,3499,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HvNwG.html
BMW Seria 3 318i Touring,1995,143,2009,Gorj,240000,Benzina,3499,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318i-touring-ID7Hr6LF.html
BMW Seria 3 318d,1995,143,2008,Cluj,361599,Diesel,3500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HA83p.html
BMW Seria 3 320d,1995,163,2005,Timis,309000,Diesel,3500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-ID7HBMsq.html
BMW Seria 3 318i,1995,129,2006,Gorj,287000,Benzina,3500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318i-ID7HB0rq.html
BMW Seria 3,1995,122,2007,Timis,310000,Diesel,3500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBlUT.html
BMW Seria 3 330 Cd,2993,204,2004,Timis,330000,Diesel,3800,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-330-cd-ID7HBCrt.html
BMW Seria 3 318d Aut.,1995,143,2012,Dambovita,289000,Diesel,3800,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-aut-ID7Hy4kj.html
BMW Seria 3 320d Blue Performance Luxury Line,1995,184,2012,Hunedoara,150000,Diesel,3850,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-blue-performance-luxury-line-ID7HBMjz.html
BMW Seria 3 320i,1995,150,2009,Arges,206000,Benzina,3850,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320i-ID7HBpOT.html
BMW Seria 3 318d DPF Touring,1995,143,2008,Teleorman,294000,Diesel,3950,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-dpf-touring-ID7HBus9.html
BMW Seria 3 320i,1995,150,2006,Dolj,150852,Benzina,3950,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320i-ID7HywS7.html
BMW Seria 3 318d Touring,1995,143,2008,Bucuresti,323500,Diesel,3950,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-touring-ID7HB7BJ.html
BMW Seria 3 318i Touring,1995,143,2008,Bucuresti,230000,Benzina,3990,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318i-touring-ID7HBny5.html
BMW Seria 3 320d,1995,163,2007,Bacau,340000,Diesel,3990,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-ID7HBKO7.html
BMW Seria 3 320i Aut.,1995,150,2006,Vrancea,320000,Benzina,3990,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320i-aut-ID7HBgBD.html
BMW Seria 3 318d DPF Touring,1995,143,2010,Ialomita,317000,Diesel,3990,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-dpf-touring-ID7HBcdg.html
BMW Seria 3 320d DPF Touring Aut.,1995,177,2009,Prahova,230000,Diesel,3999,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-dpf-touring-aut-ID7HBLQK.html
BMW Seria 3 320d DPF Touring Aut.,1995,177,2008,Brasov,340000,Diesel,4000,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-dpf-touring-aut-ID7HAymO.html
BMW Seria 3,1995,150,2005,Arad,327000,Benzina,4100,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HoFtW.html
BMW Seria 3 318d DPF Touring,1995,143,2011,Timis,255000,Diesel,4100,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-dpf-touring-ID7HAkuZ.html
BMW Seria 3,1995,163,2006,Olt,377000,Diesel,4200,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HB9n4.html
BMW Seria 3,1995,150,2006,Valcea,280649,Benzina,4250,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBaxF.html
BMW Seria 3,1995,143,2009,Timis,248000,Diesel,4299,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HwxNQ.html
BMW Seria 3 318d,1995,143,2008,Dolj,230000,Diesel,4300,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HARut.html
BMW Seria 3 320d,1995,177,2008,Bucuresti,241000,Diesel,4350,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-ID7HAlTO.html
BMW Seria 3,1995,143,2012,Cluj,234658,Diesel,4350,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HxiTk.html
BMW Seria 3 318d,1995,143,2009,Valcea,258600,Diesel,4399,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7Hvi7E.html
BMW Seria 3,1995,150,2007,Cluj,349000,Diesel,4400,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HAxCy.html
BMW Seria 3 320d Touring,1995,163,2006,Cluj,332541,Diesel,4400,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-touring-ID7HBziy.html
BMW Seria 3,1995,150,2007,Bucuresti,290000,Benzina + GPL,4400,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBd1Y.html
BMW Seria 3 318d,1995,143,2011,Suceava,325000,Diesel,4450,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HuJog.html
BMW Seria 3 320d EfficientDynamics Edition,1995,163,2010,Timis,307000,Diesel,4450,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-efficientdynamics-edition-ID7HBBlC.html
BMW Seria 3 320d,1995,177,2009,Buzau,276700,Diesel,4490,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-ID7HBz7X.html
BMW Seria 3 318d DPF Touring,1995,143,2010,Bihor,303620,Diesel,4499,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-dpf-touring-ID7HAhOC.html
BMW Seria 3 320d DPF Aut. Edition Fleet Exclusive,1995,163,2005,Gorj,225000,Diesel,4499,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-dpf-aut-edition-fleet-exclusive-ID7HzRQ2.html
BMW Seria 3 325i,2494,192,2002,Buzau,272000,Benzina,4500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-325i-ID7HB4hX.html
BMW Seria 3 320d Touring,1995,163,2005,Mehedinti,377000,Diesel,4500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-touring-ID7HBCQE.html
BMW Seria 3 320d,1995,177,2007,Brasov,260000,Diesel,4500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-ID7HlJ9y.html
BMW Seria 3 320d,1995,177,2009,Maramures,350000,Diesel,4500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-ID7HBma0.html
BMW Seria 3 320d,1995,177,2008,Olt,295000,Diesel,4500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-ID7HAwKm.html
BMW Seria 3 320d,1995,177,2008,Ialomita,270000,Diesel,4500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-ID7Hsut2.html
BMW Seria 3 318d,1995,143,2010,Maramures,345000,Diesel,4500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HBDgW.html
BMW Seria 3 318d,1995,143,2010,Arges,235830,Diesel,4600,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HAvIv.html
BMW Seria 3 320d Touring,1995,163,2006,Mures,309551,Diesel,4600,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-touring-ID7HAhvi.html
BMW Seria 3 318d DPF Touring,1995,143,2009,Gorj,292000,Diesel,4600,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-dpf-touring-ID7H0857.html
BMW Seria 3 320d Touring xDrive,1995,184,2011,Bucuresti,250000,Diesel,4690,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-touring-xdrive-ID7HAzeD.html
BMW Seria 3 318d,1995,143,2009,Satu Mare,310000,Diesel,4690,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HvhSd.html
BMW Seria 3,1995,177,2007,Ilfov,292831,Diesel,4699,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBl6n.html
BMW Seria 3 318d DPF Edition Lifestyle,1995,143,2009,Gorj,347000,Diesel,4699,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-dpf-edition-lifestyle-ID7HzS1t.html
BMW Seria 3 318i,1995,143,2009,Timis,203500,Benzina,4700,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318i-ID7HmRW6.html
BMW Seria 3 320i Touring Aut. Edition Exclusive,1995,170,2008,Bucuresti,200000,Benzina,4700,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320i-touring-aut-edition-exclusive-ID7HxVuN.html
BMW Seria 3 320i,1995,150,2007,Buzau,188000,Benzina,4700,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320i-ID7HB2zr.html
BMW Seria 3,1995,183,2011,Arges,279000,Diesel,4750,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HAZnO.html
BMW Seria 3,1995,177,2008,Arad,280000,Diesel,4750,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBh6X.html
BMW Seria 3 320d xDrive DPF Touring,1995,177,2009,Prahova,265000,Diesel,4790,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-xdrive-dpf-touring-ID7HyQOv.html
BMW Seria 3,1995,143,2008,Timis,336000,Diesel,4799,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7Hr66K.html
BMW Seria 3 320d DPF Touring Efficient Dynamics Edition,1995,163,2011,Dolj,305100,Diesel,4800,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-dpf-touring-efficient-dynamics-edition-ID7HBmOA.html
BMW Seria 3 320d DPF Touring,1995,177,2008,Dolj,385000,Diesel,4800,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-dpf-touring-ID7HBMka.html
BMW Seria 3 320d EfficientDynamics Edition,1995,163,2009,Prahova,244500,Diesel,4899,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-efficientdynamics-edition-ID7HxqRM.html
BMW Seria 3 318d DPF,1995,143,2009,Ilfov,391056,Diesel,4900,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-dpf-ID7HygCc.html
BMW Seria 3,1995,143,2009,Timis,187300,Benzina,4900,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7Hyv8P.html
BMW Seria 3 318i Edition Exclusive,1995,143,2011,Constanta,255000,Benzina,4950,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318i-edition-exclusive-ID7HshX2.html
BMW Seria 3 320d,1995,163,2009,Sibiu,300000,Diesel,4950,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-ID7HBwJR.html
BMW Seria 3 318d DPF Touring Aut.,1995,143,2012,Salaj,257808,Diesel,4990,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-dpf-touring-aut-ID7HAaYS.html
BMW Seria 3 316d Touring,1995,116,2012,Dolj,270000,Diesel,4990,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-316d-touring-ID7Hvn5e.html
BMW Seria 3 320d Coupe Aut.,1995,177,2008,Sibiu,324000,Diesel,4999,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-coupe-aut-ID7HBKJV.html
BMW Seria 3,1995,115,2005,Satu Mare,269800,Diesel,5000,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBmnS.html
BMW Seria 3,2494,192,2001,Bucuresti,263000,Benzina,5000,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HxWFb.html
BMW Seria 3 318d,1995,143,2010,Brasov,294000,Diesel,5000,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HBFdk.html
BMW Seria 3 318d,1995,143,2009,Bucuresti,370000,Diesel,5000,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HzDPH.html
BMW Seria 3 318d Touring,1995,122,2006,Bucuresti,301053,Diesel,5100,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-touring-ID7Hytof.html
BMW Seria 3 318d Aut.,1995,143,2011,Dolj,310725,Diesel,5100,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-aut-ID7HBnyL.html
BMW Seria 3 316d,1995,116,2010,Bihor,241204,Diesel,5200,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-316d-ID7Hzs6q.html
BMW Seria 3 318d DPF Edition Exclusive,1995,143,2010,Arges,318500,Diesel,5250,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-dpf-edition-exclusive-ID7HBBOO.html
BMW Seria 3 320d DPF,1995,163,2007,Arges,257000,Diesel,5250,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-dpf-ID7HzDMQ.html
BMW Seria 3 320i,1995,150,2007,Bucuresti,266500,Benzina,5299,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320i-ID7HoDYI.html
BMW Seria 3,2993,245,2011,Galati,332000,Diesel,5300,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HwEek.html
BMW Seria 3 320 Ci Cabrio,2171,170,2003,Bucuresti,247000,Benzina,5300,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320-ci-cabrio-ID7HB6FM.html
BMW Seria 3 318d,1995,143,2010,Bucuresti,280000,Diesel,5300,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HBmP5.html
BMW Seria 3 318d,1995,143,2009,Arges,266000,Diesel,5350,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HAAhG.html
BMW Seria 3 320d DPF Touring Edition Fleet Exclusive,1995,163,2011,Iasi,249000,Diesel,5400,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-dpf-touring-edition-fleet-exclusive-ID7Hm2ZD.html
BMW Seria 3 318d,1995,143,2011,Galati,231640,Diesel,5400,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HBwKk.html
BMW Seria 3 320d xDrive DPF Touring,1995,177,2009,Bacau,244000,Diesel,5450,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-xdrive-dpf-touring-ID7HzUJL.html
BMW Seria 3 320d Touring,1995,184,2012,Cluj,232000,Diesel,5499,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-touring-ID7Hy2kC.html
BMW Seria 3 318d,1995,143,2007,Bucuresti,273700,Diesel,5499,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HAqXG.html
BMW Seria 3 320i Aut.,1995,170,2008,Bucuresti,221500,Benzina,5499,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320i-aut-ID7Hv89T.html
BMW Seria 3 318d DPF Touring Edition Exclusive,1995,143,2009,Satu Mare,262000,Diesel,5499,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-dpf-touring-edition-exclusive-ID7HxwXO.html
BMW Seria 3 318d,1995,143,2009,Bihor,312150,Diesel,5500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7Hvnsn.html
BMW Seria 3 320d,1995,184,2011,Cluj,247000,Diesel,5500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-ID7HBaFw.html
BMW Seria 3 318d,1995,143,2009,Buzau,29700,Diesel,5500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HBnqa.html
BMW Seria 3 318d DPF Touring Aut.,1995,143,2010,Maramures,179395,Diesel,5500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-dpf-touring-aut-ID7Hy0BE.html
BMW Seria 3,1796,116,1995,Alba,280000,Benzina,5500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HAxeb.html
BMW Seria 3 320d,1995,177,2009,Bihor,390000,Diesel,5500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-ID7HBCHf.html
BMW Seria 3 320d DPF Touring Aut.,1995,177,2009,Cluj,292000,Diesel,5500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-dpf-touring-aut-ID7HwLYA.html
BMW Seria 3 318i,1995,143,2009,Timis,139255,Benzina,5500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318i-ID7HBmGW.html
BMW Seria 3 318d,1995,143,2010,Sibiu,284000,Diesel,5650,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7Hxs4X.html
BMW Seria 3 318d,1995,143,2010,Mures,262700,Diesel,5650,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HwEol.html
BMW Seria 3 318i,1995,143,2009,Ilfov,163135,Benzina,5699,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318i-ID7Hverz.html
BMW Seria 3,1995,143,2010,Timis,307000,Diesel,5700,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HAxoJ.html
BMW Seria 3 316d,1995,116,2014,Bucuresti,243000,Diesel,5700,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-316d-ID7Hy25x.html
BMW Seria 3 320d DPF Aut.,1995,163,2011,Maramures,267000,Diesel,5700,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-dpf-aut-ID7HzDTI.html
BMW Seria 3 320d,1995,177,2009,Arges,278000,Diesel,5750,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-ID7HBFcE.html
BMW Seria 3 320d DPF Touring,1995,177,2009,Cluj,280000,Diesel,5800,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-dpf-touring-ID7HAytI.html
BMW Seria 3 318d,1995,143,2012,Covasna,206000,Diesel,5800,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HA7M9.html
BMW Seria 3 318d DPF Touring Aut. Edition Exclusive,1995,143,2012,Galati,184000,Diesel,5850,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-dpf-touring-aut-edition-exclusive-ID7Hlmfr.html
BMW Seria 3 320d DPF Touring,1995,184,2010,Bihor,205463,Diesel,5899,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-dpf-touring-ID7HBDk9.html
BMW Seria 3,1995,143,2009,Prahova,304000,Diesel,5900,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HAzjT.html
BMW Seria 3 320 Ci Aut. Edition Exclusive,2171,170,2001,Galati,222000,Benzina,5950,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320-ci-aut-edition-exclusive-ID7HB6uh.html
BMW Seria 3 320d xDrive,1995,177,2011,Timis,262322,Diesel,5950,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-xdrive-ID7HAhrC.html
BMW Seria 3 318d,1995,143,2009,Bucuresti,216700,Diesel,5950,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HvbXq.html
BMW Seria 3 320d DPF Touring,1995,163,2005,Arges,267000,Diesel,5990,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-dpf-touring-ID7HA87K.html
BMW Seria 3 318i Aut.,1995,143,2011,Arges,215000,Benzina,5990,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318i-aut-ID7HvVT7.html
BMW Seria 3 316d DPF,1995,115,2009,Bacau,232000,Diesel,5990,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-316d-dpf-ID7HBKOJ.html
BMW Seria 3 320i Edition Exclusive,1995,170,2010,Bucuresti,217000,Benzina,5990,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320i-edition-exclusive-ID7HveUR.html
BMW Seria 3 318i Touring,1995,143,2009,Bihor,230500,Benzina,5999,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318i-touring-ID7HBnNp.html
BMW Seria 3 318 Ci Cabrio,1995,143,2002,Covasna,288000,Benzina,5999,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318-ci-cabrio-ID7HBaCS.html
BMW Seria 3 320d Coupe,1995,177,2010,Dolj,218000,Diesel,5999,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-coupe-ID7HAxtL.html
BMW Seria 3 316i,1599,122,2011,Bucuresti,186667,Benzina,5999,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-316i-ID7HBm5c.html
BMW Seria 3 320d Coupe,1995,177,2009,Dolj,253000,Diesel,5999,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-coupe-ID7Hzjcn.html
BMW Seria 3 316d,1995,116,2013,Timis,430000,Diesel,5999,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-316d-ID7HBCGz.html
BMW Seria 3 316d Sport Line,1995,116,2010,Cluj,217000,Diesel,5999,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-316d-sport-line-ID7HBEhf.html
BMW Seria 3 320d DPF Aut.,1995,184,2012,Iasi,365000,Diesel,6000,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-dpf-aut-ID7HA8T4.html
BMW Seria 3 318d,1995,143,2008,Cluj,311000,Diesel,6000,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HAxNn.html
BMW Seria 3 320d Cabriolet,1995,184,2011,Galati,346000,Diesel,6000,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-cabriolet-ID7HBz0H.html
BMW Seria 3 320d EfficientDynamics Edition,1995,163,2010,Bucuresti,383000,Diesel,6150,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-efficientdynamics-edition-ID7HBBYb.html
